Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
000100,10,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
000200,2,0,29,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
000300,17,2,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
000400,14,0,9,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
000500,0,4,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
000600,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000700,5,2,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
000800,43,1,7,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0
000900,15,4,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
001000,47,0,10,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0
001100,34,6,4,0,3,1,6,1,2,0,2,0,0,0,0,0,0,0
001200,60,4,9,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
001300,23,26,2,0,3,4,2,3,0,0,0,1,0,1,0,0,0,0
001400,26,16,0,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0
001500,15,4,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
001600,23,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
001700,35,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
001800,18,5,1,0,3,2,0,1,0,0,0,0,1,0,0,0,0,1
001900,4,22,2,1,3,3,0,3,0,0,0,0,0,3,0,0,0,0
002000,2,27,0,1,0,3,0,4,0,0,0,0,0,2,0,0,0,1
002100,0,31,1,0,0,2,0,4,0,0,0,0,0,4,0,0,0,0
002200,1,15,0,1,7,1,0,2,0,0,0,0,0,1,0,0,0,0
002300,14,1,6,0,8,1,2,0,2,0,2,0,1,0,0,0,0,0
002400,30,8,14,2,16,1,3,1,2,0,0,0,0,1,0,0,1,0
002500,9,28,6,0,5,1,1,3,0,0,0,0,0,7,0,0,0,0
002600,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
002700,33,26,18,4,22,5,2,5,4,0,2,1,1,2,0,0,1,0
002800,40,6,59,12,45,7,1,2,8,0,1,0,2,1,0,2,3,0
002900,36,1,6,4,5,1,4,0,1,1,0,0,0,0,0,0,0,0
003000,8,62,45,10,15,7,0,12,2,1,1,0,1,7,2,0,3,0
003100,2,64,2,1,7,6,0,7,0,0,2,0,0,2,1,0,0,0
003200,4,93,2,1,1,1,3,9,1,0,0,0,0,14,0,0,0,0
003300,23,116,2,0,2,11,1,14,0,0,0,2,2,12,0,0,0,1
003400,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003600,7,72,13,3,4,11,0,13,3,1,0,0,0,6,1,0,0,0
003701,3,97,17,3,2,7,0,15,1,0,0,2,0,17,0,0,0,1
003702,4,29,14,2,2,3,1,5,1,0,2,0,0,1,0,0,0,0
003800,33,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
003901,38,11,8,4,7,3,4,1,0,0,0,0,1,1,0,0,1,0
003902,58,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
004001,23,3,10,2,2,3,0,0,0,0,0,0,2,0,0,0,0,0
004002,40,2,2,1,4,2,4,0,0,0,0,2,0,0,0,0,1,0
004101,14,25,36,5,18,3,0,2,1,1,0,0,0,2,3,2,1,0
004102,37,25,38,15,19,6,2,4,4,2,0,0,0,2,0,0,1,0
004201,39,16,4,5,7,2,1,1,0,0,0,0,1,2,0,0,0,1
004202,40,7,6,1,4,1,2,1,0,0,0,0,3,1,0,0,1,0
004300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
004400,8,2,10,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0
004500,14,0,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
004700,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
004800,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
005000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005100,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
005200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005400,1,8,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
005500,9,65,2,1,5,5,1,5,0,0,2,0,0,2,0,0,1,0
005600,0,25,0,0,1,4,0,4,0,0,0,2,0,1,0,0,0,0
006000,8,74,4,3,3,5,1,10,0,0,0,0,0,4,0,0,0,0
006100,1,26,4,4,2,3,0,2,1,0,0,0,0,3,0,0,0,0
006200,3,74,2,0,3,4,0,7,0,0,1,0,0,9,0,0,1,0
006300,5,68,16,7,8,3,0,8,1,0,2,0,1,9,1,0,0,0
006400,4,65,15,3,1,5,0,11,1,0,0,0,0,5,1,1,0,1
006500,0,73,0,0,5,3,0,9,0,0,1,2,0,5,0,0,1,0
006600,3,44,8,2,2,6,1,8,0,0,1,0,0,4,1,0,0,0
006700,13,110,10,4,8,7,1,18,0,0,1,2,0,4,1,0,0,1
006900,0,43,0,0,0,8,0,5,0,0,0,1,0,4,0,0,0,0
007000,2,57,0,2,2,6,0,7,0,0,0,0,0,12,0,0,0,0
007100,6,141,2,2,8,7,1,22,0,0,0,0,0,10,0,0,0,1
007200,0,58,0,1,2,5,0,9,0,1,0,0,0,7,0,1,0,0
007300,2,40,0,2,1,8,0,5,0,0,1,1,0,3,0,0,0,0
007400,1,51,0,0,2,4,0,11,0,0,0,1,0,7,0,0,0,0
007700,3,12,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
007800,13,31,7,3,1,3,0,7,0,0,1,1,0,1,0,0,0,0
007900,27,23,6,1,0,3,2,7,0,0,0,0,0,2,0,0,0,0
008000,3,55,3,2,1,3,0,3,0,0,0,0,0,4,0,0,0,0
008100,3,118,1,2,1,5,2,25,0,1,0,1,0,12,0,0,0,0
