"Live Birth Events by Mother's Race and Ethnicity, 2006",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
100,20,4,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0
200,2,0,27,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
300,15,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
400,9,1,9,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0
500,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
700,5,1,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
800,37,0,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
900,14,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,39,2,11,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1
1100,37,7,6,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0
1200,63,0,8,0,4,0,2,0,2,0,1,0,0,0,0,0,0,0
1300,30,25,0,0,2,6,0,3,0,0,0,0,0,5,0,0,0,0
1400,32,9,4,0,4,1,3,1,0,0,1,0,0,1,0,0,0,0
1500,11,10,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
1600,19,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,31,4,4,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0
1800,9,15,2,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0
1900,11,20,2,1,3,0,0,3,0,0,0,0,0,2,0,0,1,0
2000,1,30,0,0,2,1,0,5,0,0,1,0,0,2,0,0,0,0
2100,1,33,1,0,3,5,0,3,1,0,0,0,0,4,0,0,0,1
2200,3,18,3,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0
2300,16,0,4,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0
2400,25,4,18,1,24,0,1,0,1,0,0,0,0,0,0,0,1,0
2500,26,33,4,1,2,3,2,2,0,0,0,0,0,5,0,0,0,0
2700,42,30,22,7,19,1,5,2,1,1,1,1,0,6,3,0,1,0
2800,50,7,58,8,53,4,8,0,3,2,4,1,0,1,1,0,5,0
2900,22,6,5,2,2,1,3,2,0,2,0,0,0,0,0,0,0,0
3000,5,45,44,13,19,7,2,7,5,3,0,0,0,3,0,1,2,0
3100,0,79,3,4,6,5,0,6,0,0,0,0,0,7,0,1,0,1
3200,6,82,2,0,4,6,1,16,0,0,0,3,1,9,0,0,1,0
3300,27,90,3,1,3,18,5,12,0,0,0,4,1,7,0,0,0,3
