"Live Birth Events by Mother's Race and Ethnicity, 2007",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,,,,,,,,,,,,,,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
Unknown,400,1241,101,47,462,131,32,219,9,6,34,10,11,110,0,4,41,9
100,18,1,6,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
200,5,1,31,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0
300,17,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
400,11,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
500,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600,6,0,2,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0
700,7,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,42,1,8,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0
900,17,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1000,39,1,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0
1100,40,3,5,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
1200,75,2,9,0,1,2,8,0,1,0,0,0,0,0,0,0,0,0
1300,31,14,2,1,3,1,2,1,0,1,0,0,0,1,0,0,0,0
1400,29,14,3,1,5,1,1,4,0,0,0,0,0,1,0,0,0,0
1500,24,3,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1600,14,0,5,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0
1700,29,0,1,2,1,2,2,0,0,0,0,2,0,0,0,0,0,0
1800,19,6,3,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0
1900,13,19,1,0,7,4,0,4,0,0,0,1,0,4,0,0,0,1
2000,3,18,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
2100,0,25,1,0,3,3,0,4,1,0,0,2,0,0,0,0,0,0
2200,0,27,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0
2300,13,0,8,1,11,1,1,0,0,0,0,0,0,0,0,0,1,0
2400,26,7,10,2,20,1,3,1,0,0,1,0,0,2,0,0,3,0
2500,33,27,2,3,7,3,2,6,0,0,0,0,0,0,0,0,1,1
2700,39,15,17,9,37,5,2,3,2,0,6,0,0,3,0,1,2,1
2800,28,6,29,5,42,8,1,0,1,0,2,1,1,1,0,0,2,0
2900,38,1,6,3,3,4,3,1,1,0,1,0,0,0,0,0,1,0
3000,6,51,25,14,5,7,0,8,1,5,1,0,0,6,0,3,0,1
3100,0,69,7,0,3,8,0,8,1,0,0,1,0,7,0,0,0,0
3200,1,69,1,0,4,15,0,14,0,0,0,5,0,14,0,0,0,0
3300,13,81,0,0,4,15,0,16,0,0,0,3,1,10,0,0,1,2
3400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3600,12,73,14,3,9,12,2,11,1,0,0,2,0,7,0,0,1,0
3701,5,83,13,3,5,10,0,17,0,1,0,0,0,12,1,0,0,0
3702,11,23,12,2,4,2,0,5,1,0,0,0,0,1,0,0,0,0
3800,36,1,5,1,3,1,4,0,0,0,0,1,0,0,0,0,0,0
3901,40,8,14,6,6,8,3,1,1,0,1,0,1,2,0,0,0,1
3902,48,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0
4001,26,0,12,1,8,0,0,0,3,0,0,0,1,0,0,0,0,0
4002,41,0,3,0,1,4,3,0,0,0,0,0,2,0,0,0,0,0
4101,14,24,31,10,29,8,1,1,7,1,0,1,1,3,0,0,0,3
4102,38,14,30,10,27,5,2,3,5,2,2,0,0,0,2,0,0,0
4201,50,10,5,2,10,4,4,2,0,0,3,0,1,1,0,0,0,1
4202,46,8,4,2,8,3,2,1,0,0,2,0,0,0,0,0,0,0
4400,4,3,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
4500,18,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1
4700,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5400,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5500,3,56,4,0,4,8,0,12,1,0,0,2,0,1,0,0,0,4
5600,0,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6000,5,68,12,1,4,5,0,4,0,0,0,0,0,5,1,1,0,0
