"Live Birth Events by Mother's Race and Ethnicity, 2008",,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
100,21,4,4,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0
200,3,0,30,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
300,29,2,12,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0
400,21,1,5,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0
500,4,9,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
600,9,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
700,8,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
800,50,1,10,0,7,3,3,0,1,0,1,0,0,0,0,0,0,0
900,24,5,9,0,4,4,2,1,1,0,0,1,0,1,0,0,0,0
1000,34,3,8,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0
1100,36,1,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1200,67,3,10,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
1300,43,26,6,2,2,4,5,5,1,0,0,1,0,0,0,0,1,0
1400,38,10,5,1,2,0,0,3,0,0,0,0,0,2,0,0,0,0
1500,22,2,5,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0
1600,25,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,32,0,6,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0
1800,23,10,6,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0
1900,14,16,0,0,4,2,1,0,0,0,0,0,0,3,0,0,0,0
2000,4,31,0,0,1,4,0,9,0,0,0,2,0,2,0,0,0,0
2100,1,32,0,0,1,4,0,4,0,0,0,1,0,2,0,0,0,0
2200,1,26,2,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0
2300,14,0,6,1,13,1,4,0,0,0,1,0,1,0,0,0,0,0
2400,27,8,12,2,23,6,4,0,0,1,4,3,0,0,0,1,1,0
2500,22,33,4,2,5,1,2,3,1,0,1,0,0,1,0,0,0,1
2700,51,19,16,7,32,8,1,2,0,1,1,1,0,0,1,1,0,0
2800,45,7,42,9,48,4,3,0,5,1,3,0,1,0,1,0,3,1
2900,45,1,4,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0
3000,11,49,30,9,15,7,0,7,1,0,0,2,0,4,2,0,0,0
3100,2,62,6,1,6,8,1,9,0,0,1,1,0,3,0,0,0,1
3200,3,88,2,0,2,6,0,7,0,0,0,0,0,9,0,0,0,2
3300,20,99,0,1,4,12,1,10,0,0,1,4,1,7,0,0,0,0
3400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,7,98,25,3,11,17,0,12,1,0,1,2,0,7,0,0,2,2
3701,5,99,13,2,6,10,1,11,1,0,0,1,0,8,0,0,0,1
3702,2,37,11,7,4,5,0,9,0,1,0,1,0,1,0,0,1,1
3800,34,0,3,0,2,5,1,0,0,0,0,2,2,0,0,0,0,0
3901,35,11,7,2,9,3,1,0,5,0,1,0,0,0,1,0,0,0
3902,65,0,2,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0
4001,23,1,7,5,10,4,2,0,1,0,1,1,1,0,0,0,0,0
4002,45,1,7,0,4,2,6,0,1,0,1,0,0,0,0,0,1,0
4101,17,24,31,6,43,7,0,3,5,0,1,2,1,4,3,0,3,2
4102,42,19,44,13,27,9,5,4,1,0,1,2,1,1,0,1,3,0
4201,51,7,4,4,7,2,3,0,0,0,0,0,1,2,0,0,0,0
4202,36,2,5,2,3,3,3,0,1,0,0,1,0,0,0,0,0,0
4300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,6,4,6,1,2,2,0,0,1,0,0,1,0,0,0,0,1,0
4500,30,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
4600,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
4700,32,0,2,1,2,0,5,0,0,0,0,0,1,0,0,0,0,0
4800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
