"Resident Births by Mother's Race/Ethnicity, 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,All Live Births,,,,,"Births Weighing < 2,500 grams",,,,,Births to Mothers < 18,,,,
Census Tract,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other
100,31,1,2,2,0,1,0,0,0,0,0,0,0,0,0
200,7,6,39,0,4,0,3,2,0,0,0,0,0,0,0
300,22,3,10,0,3,2,0,1,0,0,0,0,0,0,0
401,12,0,8,1,0,3,0,1,0,0,0,0,0,0,0
402,18,1,7,2,2,0,0,0,0,0,0,0,0,0,0
500,7,2,6,1,2,0,1,0,0,0,0,0,0,0,0
600,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
700,15,1,5,2,1,1,0,0,0,0,0,0,0,0,0
801,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
803,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0
804,23,0,6,3,0,0,0,0,0,0,0,0,0,0,0
901,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0
902,10,0,3,0,1,1,0,0,0,0,0,0,0,0,0
1001,21,1,11,1,0,1,0,2,0,0,0,0,0,0,0
1002,23,3,9,1,3,4,0,1,0,0,0,0,0,0,0
1101,11,0,3,2,0,0,0,0,0,0,0,0,0,0,0
1102,23,0,6,3,1,2,0,0,2,0,0,0,0,0,0
1201,46,2,3,3,1,8,0,0,0,0,0,0,0,0,0
1202,32,0,6,2,2,1,0,2,0,0,0,0,0,0,0
1300,74,19,9,6,3,4,1,2,0,0,1,0,0,0,0
1400,36,6,6,8,4,0,1,1,0,2,0,0,0,0,0
1500,32,3,5,1,0,5,0,0,0,0,0,0,0,0,0
1600,26,1,5,2,1,0,0,1,1,0,0,0,0,0,0
1700,26,7,3,3,2,2,0,0,1,0,0,2,0,0,0
1800,13,11,6,1,2,1,0,0,0,0,0,0,0,0,0
1900,18,12,4,3,4,0,3,0,0,0,0,1,0,0,1
2000,8,27,0,0,2,1,8,0,0,0,0,3,0,0,0
2100,1,28,0,0,4,0,4,0,0,2,0,3,0,0,0
2200,4,15,4,4,1,0,0,1,0,0,0,2,0,0,0
2300,13,1,6,18,0,3,0,3,2,0,0,0,0,3,0
2400,42,3,11,15,4,3,2,1,2,0,0,0,0,0,0
2500,27,31,2,8,4,1,4,0,1,0,0,3,0,0,0
2701,13,20,14,24,15,1,2,4,1,0,0,4,1,0,1
2702,28,0,2,2,3,1,0,0,0,0,1,0,0,0,0
2801,13,2,14,32,7,3,0,1,5,0,0,0,1,3,1
2802,27,1,18,18,9,1,0,3,1,1,0,0,0,0,0
2900,41,0,6,5,1,2,0,0,0,0,0,0,0,0,0
3001,9,18,20,7,6,0,2,1,1,0,0,1,0,0,1
3002,7,26,4,3,8,0,2,0,0,2,0,1,0,0,0
3100,0,62,5,2,11,0,6,0,1,1,0,6,0,0,2
3200,4,86,3,2,11,0,14,0,0,2,0,10,0,0,0
3300,18,76,4,7,14,1,14,0,0,2,0,5,0,0,2
3600,12,99,17,8,12,1,18,1,1,1,2,5,0,0,0
3701,5,77,11,13,21,1,10,1,1,6,0,7,1,1,1
3702,14,29,15,4,11,0,5,2,0,3,1,3,0,0,1
3800,39,1,3,2,2,2,0,0,0,1,0,0,0,0,0
3901,30,9,17,4,6,4,1,5,1,0,1,0,1,0,0
3902,51,0,3,0,1,5,0,0,0,0,1,0,0,0,0
4001,19,0,4,11,5,1,0,0,0,0,1,0,0,0,1
4002,54,0,6,5,5,2,0,0,0,0,1,0,0,0,0
4101,8,18,32,45,20,1,4,3,4,3,1,0,0,6,1
4102,32,12,25,29,24,0,2,5,2,5,2,1,0,1,0
4201,49,4,6,4,3,3,2,1,1,1,0,0,0,0,0
4202,47,2,7,2,5,1,0,2,0,0,0,0,0,0,0
5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,3,4,0,1,3,0,0,0,0,0,0,0,0,0,0
5500,3,51,1,2,9,0,4,0,0,1,0,2,0,0,0
5600,1,23,1,1,5,0,4,0,0,2,0,0,0,0,0
6000,6,71,6,5,23,0,13,0,0,4,0,4,0,0,1
6100,0,35,4,1,8,0,2,0,0,0,0,1,0,1,1
6200,4,78,3,0,13,0,13,0,0,5,1,2,0,0,0
6300,2,66,7,4,12,0,10,1,0,4,0,10,1,0,1
6400,3,66,2,3,16,0,5,1,0,1,0,5,0,0,3
6500,3,94,1,2,14,0,17,0,0,5,0,9,0,0,2
6600,2,56,5,4,7,0,3,0,1,2,0,4,0,0,2
6700,6,134,9,6,23,0,14,2,1,3,0,6,0,1,1
6900,0,40,0,0,5,0,1,0,0,0,0,3,0,0,1
7000,8,61,0,1,16,2,11,0,1,4,0,2,0,0,1
7101,0,31,0,1,6,0,6,0,0,2,0,1,0,1,2
7102,0,67,0,1,11,0,12,0,0,0,0,7,0,0,0
7200,3,67,1,2,5,2,8,0,1,3,0,7,0,0,1
7300,4,44,0,2,7,0,5,0,0,2,0,3,0,0,0
7400,5,53,1,0,7,0,10,0,0,1,0,0,0,0,0
7700,6,5,3,2,0,2,0,0,0,0,0,1,0,0,0
7800,21,23,3,3,7,2,4,0,2,1,1,0,0,0,0
7900,28,22,6,3,3,3,1,0,0,0,0,0,0,0,0
8000,4,73,0,2,12,0,10,0,0,3,0,5,0,0,0
8101,0,39,0,2,6,0,9,0,0,0,0,6,0,0,0
8102,1,71,0,2,8,0,14,0,0,1,0,8,0,0,1
8200,0,84,1,3,13,0,3,0,1,1,0,5,0,0,0
8301,2,43,1,1,4,0,8,0,0,0,0,4,0,0,0
8302,1,49,0,2,14,0,5,0,0,6,0,5,0,0,0
8400,0,68,1,6,10,0,9,0,0,2,0,3,0,0,0
8500,3,110,1,3,9,0,16,1,0,1,0,2,0,0,0
8601,6,14,2,1,3,0,0,0,0,1,0,0,0,0,0
8602,1,35,3,1,6,0,6,0,0,0,0,0,0,0,0
8701,8,16,13,2,7,0,1,1,0,1,0,0,0,0,0
8702,6,6,9,0,0,0,0,2,0,0,0,4,0,0,0
8801,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8802,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9000,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0
9100,7,13,0,1,2,0,3,0,0,0,0,1,0,0,0
9200,2,34,4,1,5,1,8,0,0,1,0,3,0,0,0
9300,4,75,0,4,4,0,9,0,0,0,0,4,0,1,0
9400,0,70,1,1,3,0,8,0,0,0,0,8,0,0,0
9500,1,52,1,3,7,0,7,0,1,1,0,7,0,0,0
9600,0,75,1,2,7,0,16,0,0,3,0,5,0,0,0
9801,0,17,0,3,4,0,1,0,0,0,0,0,0,0,0
9802,6,65,1,1,5,0,8,0,0,1,0,2,0,0,0
10000,0,53,0,2,7,0,8,0,0,3,0,1,0,0,0
10100,2,67,1,2,12,0,9,0,0,0,0,1,0,0,2
10200,0,64,0,2,2,0,13,0,0,1,0,4,0,0,0
10300,1,31,0,2,1,0,4,0,0,0,0,4,0,0,1
10400,1,50,0,2,7,0,10,0,0,2,0,3,0,1,1
10500,3,44,0,2,11,1,3,0,0,1,1,2,0,0,1
10600,0,18,3,3,2,0,2,1,0,0,0,2,0,0,1
10700,2,60,0,1,6,0,9,0,0,0,0,3,0,0,0
10800,1,45,0,1,8,0,5,0,0,3,0,2,0,0,0
10900,0,20,0,2,2,0,1,0,0,0,0,1,0,0,0
11000,5,62,0,6,7,1,9,0,1,0,0,5,0,1,0
11100,1,59,0,3,2,0,8,0,1,1,0,4,0,0,0
11200,2,68,1,2,4,0,9,0,1,1,1,2,0,0,2
11300,0,41,0,4,7,0,6,0,0,3,0,1,0,0,0
11400,1,79,1,3,5,0,8,0,1,0,0,4,0,0,0
11500,1,54,0,2,5,1,5,0,0,1,0,5,0,0,1
11700,3,9,2,0,1,1,1,0,0,1,0,1,0,0,0
11800,1,69,1,5,7,0,10,0,0,1,0,1,0,1,0
11900,7,74,0,2,5,0,9,0,0,2,0,7,0,1,0
12000,2,8,4,1,0,0,1,0,0,0,0,0,0,0,0
12100,4,26,2,2,4,0,5,1,0,0,0,2,0,0,0
12201,1,9,4,1,2,0,2,0,0,0,0,0,0,0,0
12203,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0
12204,3,17,3,2,6,0,1,0,0,1,0,0,0,0,0
12500,31,7,12,6,1,0,0,1,1,0,0,1,0,0,0
13100,3,16,1,2,1,1,0,0,0,0,0,0,0,0,0
13200,2,27,1,5,2,0,3,0,1,0,0,1,0,0,0
13300,6,24,1,5,3,0,5,0,1,0,0,0,0,0,0
13401,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0
13402,21,5,1,6,0,2,0,0,2,0,0,1,0,0,0
13500,23,25,1,4,4,0,2,0,2,0,0,2,0,0,0
13601,41,1,1,3,1,1,0,1,0,0,0,0,0,0,0
13602,53,5,5,3,3,2,1,1,0,0,0,0,0,0,0
13700,16,69,0,2,4,1,10,0,0,0,0,0,0,1,0
13800,2,33,0,6,2,0,5,0,1,0,0,3,0,0,0
13900,1,63,0,2,4,0,10,0,0,0,0,5,0,0,2
14000,0,39,0,1,5,0,12,0,0,1,0,2,0,0,0
14100,2,37,0,4,3,0,4,0,0,1,0,0,0,0,0
14200,32,5,3,5,1,5,0,0,1,0,0,0,0,0,0
14300,13,2,1,1,1,2,0,0,0,0,0,0,0,0,0
14400,18,18,1,15,5,2,5,0,2,0,0,0,0,3,0
14500,1,22,0,9,1,0,2,0,1,1,0,2,0,0,0
