Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
100,44,34,0,5,3,2,6,3,0,0,1,2,0,0,0,0,0,0
200,30,4,1,19,1,5,3,0,0,1,0,2,0,0,0,0,0,0
300,56,33,2,12,6,3,6,4,0,2,0,0,2,0,1,0,0,1
401,15,7,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
402,10,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
500,22,5,5,8,1,3,3,1,0,2,0,0,0,0,0,0,0,0
600,13,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
700,23,12,0,8,2,1,1,0,0,1,0,0,0,0,0,0,0,0
801,11,9,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
803,24,16,0,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0
804,33,23,0,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0
901,14,4,1,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0
902,26,21,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1001,19,11,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1002,27,20,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,28,16,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
1102,32,24,0,6,2,0,1,0,0,0,1,0,0,0,0,0,0,0
1201,41,34,1,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0
1202,55,47,3,2,1,2,4,3,0,1,0,0,0,0,0,0,0,0
1300,131,91,20,10,6,4,10,2,3,3,2,0,3,0,3,0,0,0
1400,76,60,4,5,3,4,2,2,0,0,0,0,1,0,1,0,0,0
1500,40,29,4,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0
1600,25,20,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1700,37,30,1,4,0,2,2,1,0,0,0,1,0,0,0,0,0,0
1800,43,29,5,5,3,1,5,4,0,1,0,0,0,0,0,0,0,0
1900,59,30,14,5,4,6,6,2,3,0,0,1,0,0,0,0,0,0
2000,24,4,15,0,3,2,3,1,2,0,0,0,1,0,0,0,1,0
2100,31,4,17,2,4,4,2,1,1,0,0,0,0,0,0,0,0,0
2200,34,10,13,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2300,36,21,1,6,4,4,1,0,0,1,0,0,0,0,0,0,0,0
2400,82,43,3,11,19,6,1,0,1,0,0,0,0,0,0,0,0,0
2500,63,34,14,6,5,4,9,2,5,0,2,0,2,0,1,0,1,0
2701,67,16,4,16,20,11,4,2,0,0,1,1,1,0,0,0,1,0
2702,53,37,4,6,3,3,1,0,1,0,0,0,1,0,1,0,0,0
2801,94,16,4,21,43,10,7,0,1,1,3,2,4,0,0,1,3,0
2802,94,44,0,18,27,5,6,3,0,1,1,1,2,0,0,0,2,0
2900,61,49,0,5,4,3,9,7,0,1,1,0,0,0,0,0,0,0
3001,63,12,12,17,8,14,7,0,2,2,1,2,4,1,2,1,0,0
3002,48,4,32,3,6,3,4,0,4,0,0,0,2,0,2,0,0,0
3100,74,2,53,4,9,6,12,0,9,1,1,1,1,0,0,0,1,0
3200,108,6,91,0,2,9,14,1,10,0,1,2,7,0,6,0,1,0
3300,117,20,72,6,5,14,13,3,10,0,0,0,7,0,6,0,1,0
3600,118,9,70,18,9,12,9,0,4,3,1,1,7,1,6,0,0,0
3701,102,6,68,14,6,8,6,1,5,0,0,0,3,0,3,0,0,0
3702,70,5,27,16,9,13,5,0,0,2,0,3,2,0,1,0,1,0
3800,51,38,1,5,1,6,4,3,0,0,0,1,2,1,1,0,0,0
3901,83,45,7,17,6,8,6,3,1,2,0,0,2,2,0,0,0,0
3902,61,51,0,5,3,2,5,5,0,0,0,0,0,0,0,0,0,0
4001,47,29,1,7,5,5,3,3,0,0,0,0,0,0,0,0,0,0
4002,63,46,5,5,2,5,5,4,1,0,0,0,0,0,0,0,0,0
4101,136,15,13,36,42,30,8,2,0,1,4,1,4,2,1,0,1,0
4102,149,41,11,40,32,25,16,2,3,5,3,3,6,0,1,2,1,2
4201,81,59,6,3,7,6,4,1,0,0,3,0,2,0,0,1,1,0
4202,55,38,1,7,3,6,5,4,0,1,0,0,1,1,0,0,0,0
5400,18,0,14,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0
5500,74,4,55,5,6,4,9,1,7,0,1,0,1,0,1,0,0,0
5600,41,1,35,0,1,4,5,0,4,0,0,1,3,0,3,0,0,0
