"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
100,54,41,3,6,2,2,7,5,0,2,0,0,0,0,0,0,0,0
200,38,5,2,23,2,6,3,2,0,0,0,1,0,0,0,0,0,0
300,36,22,0,8,5,1,2,0,0,0,2,0,0,0,0,0,0,0
401,24,10,1,7,6,0,3,1,0,2,0,0,0,0,0,0,0,0
402,13,6,0,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0
500,14,4,3,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0
600,18,6,0,9,1,2,3,1,0,2,0,0,0,0,0,0,0,0
700,23,15,3,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0
801,17,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
803,33,21,0,5,2,5,5,1,0,1,2,1,0,0,0,0,0,0
804,35,21,0,12,1,1,8,5,0,3,0,0,0,0,0,0,0,0
901,13,8,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
902,16,14,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1001,21,16,2,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0
1002,29,18,5,3,0,3,5,4,0,1,0,0,1,0,1,0,0,0
1101,27,17,1,3,2,4,3,1,1,1,0,0,0,0,0,0,0,0
1102,35,29,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1201,55,46,0,7,2,0,4,4,0,0,0,0,0,0,0,0,0,0
1202,56,51,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0
1300,122,94,8,14,1,5,12,8,0,3,0,1,0,0,0,0,0,0
1400,67,52,7,7,1,0,9,6,0,3,0,0,0,0,0,0,0,0
1500,45,21,4,13,4,3,2,1,0,1,0,0,0,0,0,0,0,0
1600,39,34,2,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0
1700,42,34,1,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1800,50,37,6,2,2,3,5,2,2,0,1,0,0,0,0,0,0,0
1900,64,35,16,8,2,3,2,2,0,0,0,0,2,0,2,0,0,0
2000,27,4,18,1,3,1,4,1,1,0,2,0,0,0,0,0,0,0
2100,31,8,15,0,5,3,3,2,1,0,0,0,3,0,2,0,0,1
2200,35,7,14,4,5,5,2,0,2,0,0,0,1,0,1,0,0,0
2300,47,27,0,7,10,3,2,2,0,0,0,0,0,0,0,0,0,0
2400,82,49,4,7,17,5,7,3,1,0,2,1,0,0,0,0,0,0
2500,76,36,21,7,5,7,7,0,5,0,1,1,0,0,0,0,0,0
2701,63,15,8,15,13,12,3,1,0,1,0,1,1,0,0,0,1,0
2702,43,37,1,1,3,1,4,4,0,0,0,0,1,1,0,0,0,0
2801,86,11,6,10,47,12,10,0,1,1,5,3,2,0,0,0,2,0
2802,79,34,1,12,23,9,4,0,0,1,2,1,0,0,0,0,0,0
2900,60,50,1,2,5,2,0,0,0,0,0,0,1,0,0,0,1,0
3001,64,15,8,19,16,6,3,0,1,2,0,0,0,0,0,0,0,0
3002,47,10,19,4,9,5,1,0,1,0,0,0,2,0,2,0,0,0
3100,82,4,54,9,5,10,9,0,6,0,1,2,6,0,4,0,0,2
3200,84,4,68,1,4,7,9,0,6,0,0,3,5,0,5,0,0,0
3300,105,19,72,7,3,4,11,2,9,0,0,0,7,2,4,0,1,0
3600,105,8,67,10,5,15,8,1,5,1,0,1,6,1,5,0,0,0
3701,96,7,57,8,9,15,15,0,12,0,0,3,2,0,2,0,0,0
3702,58,13,26,8,5,6,5,1,3,0,0,1,3,1,2,0,0,0
3800,43,35,1,3,1,3,4,2,0,1,0,1,0,0,0,0,0,0
3901,68,34,6,11,8,9,3,1,1,0,0,1,2,0,1,1,0,0
3902,61,53,1,1,4,2,7,6,0,0,1,0,0,0,0,0,0,0
4001,57,35,0,8,10,4,5,4,0,0,0,1,1,0,0,0,1,0
4002,51,38,0,5,6,2,0,0,0,0,0,0,1,0,0,0,1,0
4101,97,10,13,27,24,23,8,0,3,1,1,3,2,0,0,0,0,2
4102,140,33,9,43,29,26,14,1,3,4,2,4,4,2,0,1,1,0
4201,69,48,2,4,6,9,7,3,1,0,2,1,1,1,0,0,0,0
4202,69,44,4,10,5,6,4,3,0,0,0,1,1,0,1,0,0,0
5000,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,11,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,68,2,55,1,2,8,5,0,4,0,0,1,1,0,0,0,0,1
5600,33,1,25,2,2,3,7,0,7,0,0,0,0,0,0,0,0,0
6000,99,5,74,8,2,10,6,1,3,0,0,2,3,0,1,0,0,2
6100,53,3,44,2,0,4,8,1,7,0,0,0,3,0,2,1,0,0
6200,75,0,67,2,1,5,3,0,3,0,0,0,4,0,4,0,0,0
