"School Year","Enrolled School ID","Enrolled School Name","Enrolled School Zip Code","Catchment School ID","Catchment School Name","Catchment School Zip Code","Student Counts"
"2016-2017","1010","Bartram, John High School","19142","1010","Bartram, John High School","19142","470"
"2016-2017","1010","Bartram, John High School","19142","1020","West Philadelphia High School","19139","9"
"2016-2017","1010","Bartram, John High School","19142","1100","Sayre, William L. High School","19139","30"
"2016-2017","1010","Bartram, John High School","19142","2000","South Philadelphia H.S.","19148","1"
"2016-2017","1010","Bartram, John High School","19142","3414","Aspira Olney Charter High","19120","1"
"2016-2017","1010","Bartram, John High School","19142","3416","Mastery Charter at Gratz","19140","3"
"2016-2017","1010","Bartram, John High School","19142","3417","Universal Charter Audenried","19145","5"
"2016-2017","1010","Bartram, John High School","19142","4020","Overbrook High School","19131","12"
"2016-2017","1010","Bartram, John High School","19142","4140","Strawberry Mansion High School","19121","1"
"2016-2017","1010","Bartram, John High School","19142","5020","Edison, Thomas A. High School","19140","1"
"2016-2017","1010","Bartram, John High School","19142","6060","King, Martin Luther High Sch.","19138","4"
"2016-2017","1010","Bartram, John High School","19142","7010","Frankford High School","19124","1"
"2016-2017","1010","Bartram, John High School","19142","Data Not Available","Data Not Available","Data Not Available","60"
"2016-2017","1020","West Philadelphia High School","19139","1010","Bartram, John High School","19142","64"
"2016-2017","1020","West Philadelphia High School","19139","1020","West Philadelphia High School","19139","192"
"2016-2017","1020","West Philadelphia High School","19139","1100","Sayre, William L. High School","19139","82"
"2016-2017","1020","West Philadelphia High School","19139","2000","South Philadelphia H.S.","19148","3"
"2016-2017","1020","West Philadelphia High School","19139","2010","Franklin, Benjamin High School","19130","3"
"2016-2017","1020","West Philadelphia High School","19139","3416","Mastery Charter at Gratz","19140","3"
"2016-2017","1020","West Philadelphia High School","19139","3417","Universal Charter Audenried","19145","4"
"2016-2017","1020","West Philadelphia High School","19139","4020","Overbrook High School","19131","67"
"2016-2017","1020","West Philadelphia High School","19139","4140","Strawberry Mansion High School","19121","7"
"2016-2017","1020","West Philadelphia High School","19139","5020","Edison, Thomas A. High School","19140","1"
"2016-2017","1020","West Philadelphia High School","19139","5700","Kensington High School","19125","1"
"2016-2017","1020","West Philadelphia High School","19139","6060","King, Martin Luther High Sch.","19138","3"
"2016-2017","1020","West Philadelphia High School","19139","8030","Washington, George High School","19116","1"
"2016-2017","1020","West Philadelphia High School","19139","Data Not Available","Data Not Available","Data Not Available","49"
"2016-2017","1030","High School of the Future","19104","1010","Bartram, John High School","19142","46"
"2016-2017","1030","High School of the Future","19104","1020","West Philadelphia High School","19139","16"
"2016-2017","1030","High School of the Future","19104","1100","Sayre, William L. High School","19139","58"
"2016-2017","1030","High School of the Future","19104","2000","South Philadelphia H.S.","19148","7"
"2016-2017","1030","High School of the Future","19104","2010","Franklin, Benjamin High School","19130","29"
"2016-2017","1030","High School of the Future","19104","2160","Furness, Horace High School","19148","1"
"2016-2017","1030","High School of the Future","19104","3414","Aspira Olney Charter High","19120","13"
"2016-2017","1030","High School of the Future","19104","3416","Mastery Charter at Gratz","19140","16"
"2016-2017","1030","High School of the Future","19104","3417","Universal Charter Audenried","19145","12"
"2016-2017","1030","High School of the Future","19104","4020","Overbrook High School","19131","101"
"2016-2017","1030","High School of the Future","19104","4140","Strawberry Mansion High School","19121","31"
"2016-2017","1030","High School of the Future","19104","5020","Edison, Thomas A. High School","19140","10"
"2016-2017","1030","High School of the Future","19104","5160","Penn Treaty High School","19125","4"
"2016-2017","1030","High School of the Future","19104","5700","Kensington High School","19125","12"
"2016-2017","1030","High School of the Future","19104","6030","Roxborough High School","19128","7"
"2016-2017","1030","High School of the Future","19104","6060","King, Martin Luther High Sch.","19138","40"
"2016-2017","1030","High School of the Future","19104","7010","Frankford High School","19124","12"
"2016-2017","1030","High School of the Future","19104","7120","Fels, Samuel High School","19124","10"
"2016-2017","1030","High School of the Future","19104","8010","Lincoln, Abraham High School","19136","5"
"2016-2017","1030","High School of the Future","19104","8020","Northeast High School","19111","4"
"2016-2017","1030","High School of the Future","19104","8030","Washington, George High School","19116","1"
