School Year,Enrolled School ID,Enrolled School Name,Enrolled School Zip Code,Catchment School ID,Catchment School Name,Catchment School Zip Code,Student Counts
2021-2022,1010,"Bartram, John High School",19142-2229,1010,"Bartram, John High School",19142-2229,426
2021-2022,1010,"Bartram, John High School",19142-2229,1020,West Philadelphia High School,19139-3536,1
2021-2022,1010,"Bartram, John High School",19142-2229,1100,"Sayre, William L. High School",19139-3836,24
2021-2022,1010,"Bartram, John High School",19142-2229,2000,South Philadelphia H.S.,19148-2941,2
2021-2022,1010,"Bartram, John High School",19142-2229,2010,"Franklin, Benjamin High School",19130-4016,1
2021-2022,1010,"Bartram, John High School",19142-2229,2160,"Furness, Horace High School",19148-2635,1
2021-2022,1010,"Bartram, John High School",19142-2229,3414,Aspira Olney Charter High,19120-3410,1
2021-2022,1010,"Bartram, John High School",19142-2229,3416,Mastery Charter at Gratz,19140-3408,8
2021-2022,1010,"Bartram, John High School",19142-2229,3417,Universal Charter Audenried,19145-1021,4
2021-2022,1010,"Bartram, John High School",19142-2229,4020,Overbrook High School,19131-3439,15
2021-2022,1010,"Bartram, John High School",19142-2229,4140,Strawberry Mansion High School,19121-1171,1
2021-2022,1010,"Bartram, John High School",19142-2229,5020,"Edison, Thomas A. High School",19140-2732,2
2021-2022,1010,"Bartram, John High School",19142-2229,5700,Kensington High School,19125-1737,3
2021-2022,1010,"Bartram, John High School",19142-2229,6030,Roxborough High School,19128-2516,2
2021-2022,1010,"Bartram, John High School",19142-2229,6060,"King, Martin Luther High Sch.",19138-1625,6
2021-2022,1010,"Bartram, John High School",19142-2229,7010,Frankford High School,19124-2610,3
2021-2022,1010,"Bartram, John High School",19142-2229,8010,"Lincoln, Abraham High School",19136-4318,2
2021-2022,1010,"Bartram, John High School",19142-2229,Data Not Available,Data Not Available,Data Not Available,1
2021-2022,1020,West Philadelphia High School,19139-3536,1010,"Bartram, John High School",19142-2229,86
2021-2022,1020,West Philadelphia High School,19139-3536,1020,West Philadelphia High School,19139-3536,148
2021-2022,1020,West Philadelphia High School,19139-3536,1100,"Sayre, William L. High School",19139-3836,109
2021-2022,1020,West Philadelphia High School,19139-3536,2000,South Philadelphia H.S.,19148-2941,2
2021-2022,1020,West Philadelphia High School,19139-3536,2010,"Franklin, Benjamin High School",19130-4016,5
2021-2022,1020,West Philadelphia High School,19139-3536,2160,"Furness, Horace High School",19148-2635,3
2021-2022,1020,West Philadelphia High School,19139-3536,3414,Aspira Olney Charter High,19120-3410,2
2021-2022,1020,West Philadelphia High School,19139-3536,3416,Mastery Charter at Gratz,19140-3408,8
2021-2022,1020,West Philadelphia High School,19139-3536,3417,Universal Charter Audenried,19145-1021,4
2021-2022,1020,West Philadelphia High School,19139-3536,4020,Overbrook High School,19131-3439,88
