"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","District","Network 13","High","1010","Bartram, John High School","1706","N","503","3525","426","0.14","12.09%","84.69%"
"2021-2022","District","Network 13","High","1020","West Philadelphia High School","965","N","502","1309","148","0.38","11.31%","29.48%"
"2021-2022","District","Innovation Network","High","1030","High School of the Future","859","N","701","0","0","-","-","0.00%"
"2021-2022","District","Network 1","High","1050","Robeson, Paul High School","387","N","300","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","1100","Sayre, William L. High School","882","N","385","2826","265","0.14","9.38%","68.83%"
"2021-2022","District","Network 10","Middle","1130","Tilden Middle School","1197","N","354","1653","299","0.21","18.09%","84.46%"
"2021-2022","District","Network 1","High","1190","Motivation High School","860","Y","393","0","0","-","-","0.00%"
"2021-2022","District","Network 5","Elementary-Middle","1200","Barry, John Elementary School","894","Y","477","1264","349","0.38","27.61%","73.17%"
"2021-2022","District","Acceleration Network","Elementary-Middle","1230","Bryant, William C. School","894","Y","373","823","297","0.45","36.09%","79.62%"
"2021-2022","District","Network 12","Elementary","1250","Catharine, Joseph School","676","N","410","644","348","0.64","54.04%","84.88%"
"2021-2022","District","Network 12","Elementary-Middle","1260","Comegys, Benjamin B. School","596","N","376","977","312","0.38","31.93%","82.98%"
"2021-2022","District","Network 2","Elementary-Middle","1280","Penn Alexander School","542","N","572","677","557","0.84","82.27%","97.38%"
"2021-2022","District","Network 2","Elementary-Middle","1290","Hamilton, Andrew School","696","N","343","511","188","0.67","36.79%","54.81%"
"2021-2022","District","Network 12","Elementary-Middle","1300","Harrington, Avery D. School","616","N","351","812","200","0.43","24.63%","56.98%"
"2021-2022","District","Network 2","Elementary-Middle","1340","Lea, Henry C.","716","Y","446","343","190","1.30","55.39%","42.60%"
"2021-2022","District","Network 10","Elementary-Middle","1350","Longstreth, William C. School","735","Y","273","732","208","0.37","28.42%","76.19%"
"2021-2022","District","Network 5","Elementary-Middle","1360","McMichael, Morton School","874","Y","289","541","200","0.53","36.97%","69.20%"
"2021-2022","District","Network 5","Elementary-Middle","1370","Mitchell Elementary School","696","N","376","885","310","0.42","35.03%","82.45%"
"2021-2022","District","Network 11","Elementary","1380","Morton, Thomas G. School","795","N","421","898","382","0.47","42.54%","90.74%"
"2021-2022","District","Network 2","Elementary","1390","Powel, Samuel School","199","N","243","147","102","1.65","69.39%","41.98%"
"2021-2022","District","Network 10","Elementary","1400","Patterson, John M. School","696","Y","364","914","339","0.40","37.09%","93.13%"
"2021-2022","District","Acceleration Network","Elementary-Middle","1410","Rhoads, James School","676","N","419","919","316","0.46","34.39%","75.42%"
"2021-2022","District","Network 2","Elementary-Middle","1420","Washington, Martha School","815","N","238","204","77","1.17","37.75%","32.35%"
"2021-2022","District","Network 10","Elementary-Middle","1440","Penrose School","1140","N","405","664","266","0.61","40.06%","65.68%"
"2021-2022","District","Acceleration Network","Elementary-Middle","1460","Anderson, Add B. School","616","Y","403","796","286","0.51","35.93%","70.97%"
"2021-2022","District","Network 2","Elementary-Middle","1470","Locke, Alain School","676","N","333","695","227","0.48","32.66%","68.17%"
"2021-2022","District","Acceleration Network","Elementary-Middle","1490","Blankenburg, Rudolph School","596","Y","332","849","190","0.39","22.38%","57.23%"
"2021-2022","District","Network 2","Middle","1580","MYA-Middle Years Alternative","1000","Y","207","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","2000","South Philadelphia H.S.","2498","Y","638","2317","320","0.28","13.81%","50.16%"
"2021-2022","District","Network 4","High","2010","Franklin, Benjamin High School","1464","Y","535","1277","138","0.42","10.81%","25.79%"
"2021-2022","District","Network 1","High","2020","Creative and Performing Arts","890","N","755","0","0","-","-","0.00%"
"2021-2022","District","Innovation Network","Middle","2050","Science Leadership Academy MS","360","N","350","98","45","3.57","45.92%","12.86%"
"2021-2022","District","Network 1","Middle-High","2140","Masterman, Julia R. High School","1200","N","1181","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","2160","Furness, Horace High School","1240","N","754","1534","376","0.49","24.51%","49.87%"
"2021-2022","District","Network 10","Elementary-Middle","2190","Fell, D. Newlin School","556","N","546","1110","354","0.49","31.89%","64.84%"
